,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
1460,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,CARRIES,8
1461,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,CARRIES,47
1462,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,CARRIES,24
1463,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,CARRIES,15
1464,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,CARRIES,37
1465,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,CARRIES,28
1466,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,CARRIES,4
1467,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,CARRIES,6
1468,Marco Zanon,Back,Italy,Centre,24,7, Benetton,CARRIES,22
1469,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,CARRIES,40
1470,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,CARRIES,12
1471,Maro Itoje,Forward,England,Lock,27,51,Saracens,CARRIES,37
1472,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,CARRIES,32
1473,Matthis Lebel,Back,France,Wing,22,1, Toulouse,CARRIES,0
1474,Max Malins,Back,England,Fullback,25,10,Saracens,CARRIES,29
1475,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,CARRIES,2
1476,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,CARRIES,40
1477,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,CARRIES,13
1478,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,CARRIES,28
1479,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,CARRIES,2
1480,Monty Ioane,Back,Italy,Wing,27,9, Benetton,CARRIES,51
1481,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,CARRIES,0
1482,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,CARRIES,23
1483,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,CARRIES,6
1484,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,CARRIES,13
1485,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,CARRIES,25
1486,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,CARRIES,3
1487,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,CARRIES,3
1488,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,CARRIES,34
1489,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,CARRIES,27
1490,Paul Willemse,Forward,France,Lock,29,19, Montpellier,CARRIES,17
1491,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,CARRIES,7
1492,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,CARRIES,15
1493,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,CARRIES,6
1494,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,CARRIES,33
1495,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,CARRIES,7
1496,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,CARRIES,8
1497,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,CARRIES,22
1498,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,CARRIES,14
1499,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,CARRIES,11
1500,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,CARRIES,7
1501,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,CARRIES,35
1502,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,CARRIES,3
1503,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,CARRIES,25
1504,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,CARRIES,10
1505,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,CARRIES,30
1506,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,CARRIES,10
1507,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,CARRIES,39
1508,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,CARRIES,16
1509,Sam Underhill,Forward,England,Back row,25,27,Bath,CARRIES,5
1510,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,CARRIES,14
1511,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,CARRIES,14
1512,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,CARRIES,19
1513,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,CARRIES,13
1514,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,CARRIES,56
1515,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,CARRIES,14
1516,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,CARRIES,45
1517,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,CARRIES,33
1518,Taine Basham,Forward,Wales,Back row,22,7, Dragons,CARRIES,30
1519,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,CARRIES,36
1520,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,CARRIES,8
1521,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,CARRIES,3
1522,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,CARRIES,4
1523,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,CARRIES,25
1524,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,CARRIES,19
1525,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,CARRIES,4
1526,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,CARRIES,2
1527,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,CARRIES,19
1528,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,CARRIES,6
1529,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,CARRIES,16
1530,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,CARRIES,42
1531,Will Stuart,Forward,England,Prop,25,15,Bath,CARRIES,15
1532,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,CARRIES,5
1533,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,CARRIES,16
1534,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,CARRIES,19
1535,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,CARRIES,24
1536,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,METRES KICKED,1
1537,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,METRES KICKED,0
1538,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,METRES KICKED,0
1539,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,METRES KICKED,383
1540,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,METRES KICKED,106
1541,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,METRES KICKED,0
1542,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,METRES KICKED,727
1543,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,METRES KICKED,0
1544,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,METRES KICKED,0
1545,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,METRES KICKED,0
1546,Andrew Conway,Back,Ireland,Wing,30,27,Munster,METRES KICKED,223
1547,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,METRES KICKED,0
1548,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,METRES KICKED,0
1549,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,METRES KICKED,117
1550,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,METRES KICKED,0
1551,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,METRES KICKED,1930
1552,Ben Carter,Forward,Wales,Lock,21,5, Dragons,METRES KICKED,0
1553,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,METRES KICKED,0
1554,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,METRES KICKED,167
1555,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,METRES KICKED,977
1556,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,METRES KICKED,83
1557,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,METRES KICKED,0
1558,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,METRES KICKED,0
1559,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,METRES KICKED,0
1560,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,METRES KICKED,0
1561,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,METRES KICKED,568
1562,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,METRES KICKED,26
1563,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,METRES KICKED,0
1564,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,METRES KICKED,0
1565,Charlie Ewels,Forward,England,Lock,26,26,Bath,METRES KICKED,0
1566,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,METRES KICKED,0
1567,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,METRES KICKED,11
1568,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,METRES KICKED,0
1569,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,METRES KICKED,197
1570,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,METRES KICKED,0
1571,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,METRES KICKED,0
1572,Cyril Baille,Forward,France,Prop,28,31, Toulouse,METRES KICKED,0
1573,Damian Penaud,Back,France,Wing,25,28, Clermont,METRES KICKED,268
1574,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,METRES KICKED,1497
1575,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,METRES KICKED,0
1576,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,METRES KICKED,0
1577,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,METRES KICKED,50
1578,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,METRES KICKED,0
1579,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,METRES KICKED,0
1580,Demba Bamba,Forward,France,Prop,23,20, Lyon,METRES KICKED,0
1581,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,METRES KICKED,0
1582,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,METRES KICKED,0
1583,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,METRES KICKED,45
1584,Dylan Cretin,Forward,France,Back row,24,13, Lyon,METRES KICKED,0
1585,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,METRES KICKED,542
1586,Elliot Daly,Back,England,Wing,29,52,Saracens,METRES KICKED,188
1587,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,METRES KICKED,0
1588,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,METRES KICKED,0
1589,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,METRES KICKED,0
1590,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,METRES KICKED,0
1591,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,METRES KICKED,0
1592,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,METRES KICKED,1402
1593,Francois Cros,Forward,France,Back row,27,11, Toulouse,METRES KICKED,0
1594,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,METRES KICKED,0
1595,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,METRES KICKED,259
1596,Gabin Villiere,Back,France,Wing,26,8, Toulon,METRES KICKED,95
1597,Gael Fickou,Back,France,Centre,27,66, Racing 92,METRES KICKED,88
1598,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,METRES KICKED,90
1599,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,METRES KICKED,352
1600,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,METRES KICKED,0
1601,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,METRES KICKED,99
1602,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,METRES KICKED,0
1603,George Furbank,Back,England,Fullback,25,5,Northampton Saints,METRES KICKED,163
1604,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,METRES KICKED,0
1605,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,METRES KICKED,0
1606,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,METRES KICKED,0
1607,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,METRES KICKED,0
1608,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,METRES KICKED,0
1609,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,METRES KICKED,0
1610,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,METRES KICKED,0
1611,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,METRES KICKED,0
1612,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,METRES KICKED,0
1613,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,METRES KICKED,577
1614,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,METRES KICKED,406
1615,Hugo Keenan,Back,Ireland,Fullback,25,16,Leinster,METRES KICKED,337
1616,Iain Henderson,Forward,Ireland,Lock,29,65,Ulster,METRES KICKED,0
1617,Ivan Nemer,Forward,Italy,Prop,23,3, Benetton,METRES KICKED,0
1618,Jac Morgan,Forward,Wales,Back row,22,0, Ospreys,METRES KICKED,0
1619,Jack Carty,Back,Ireland,Fly-half,29,10,Connacht,METRES KICKED,0
1620,Jack Conan,Forward,Ireland,Back row,29,22,Leinster,METRES KICKED,24
1621,Jack Nowell,Back,England,Wing,28,34,Exeter Chiefs,METRES KICKED,95
1622,James Hume,Back,Ireland,Centre,23,1,Ulster,METRES KICKED,0
1623,James Lowe,Back,Ireland,Wing,29,10,Leinster,METRES KICKED,721
1624,James Ryan,Forward,Ireland,Lock,25,40,Leinster,METRES KICKED,0
1625,Jamie Blamire,Back,England,Hooker,24,5,Newcastle Falcons,METRES KICKED,0
1626,Jamie George,Back,England,Hooker,31,61,Saracens,METRES KICKED,0
1627,Jamie Hodgson,Forward,Scotland,Lock,23,3, Edinburgh,METRES KICKED,0
1628,Jamie Ritchie,Forward,Scotland,Back row,25,31, Edinburgh,METRES KICKED,0
1629,Jamison Gibson-Park,Back,Ireland,Scrum-half,29,12,Leinster,METRES KICKED,933
1630,Jean-Baptiste Gros,Forward,France,Prop,22,14, Toulon,METRES KICKED,0
1631,Joe Launchbury,Forward,England,Lock,30,69,Wasps,METRES KICKED,0
1632,Joe Marchant,Back,England,Centre,25,7,Harlequins,METRES KICKED,22
1633,Joe Marler,Forward,England,Prop,31,74,Harlequins,METRES KICKED,0
1634,Joey Carbery,Back,Ireland,Fly-half,26,27,Munster,METRES KICKED,318
1635,Johnny McNicholl,Back,Wales,Fullback,31,8, Scarlets,METRES KICKED,263
1636,Johnny Sexton,Back,Ireland,Fly-half,36,101,Leinster,METRES KICKED,275
1637,Jonathan Danty,Back,France,Centre,29,11, La Rochelle,METRES KICKED,66
1638,Jonathan Davies,Back,Wales,Centre,33,93, Scarlets,METRES KICKED,1
1639,Jonny Gray,Forward,Scotland,Lock,27,64, Exeter Chiefs,METRES KICKED,0
1640,Josh Adams,Back,Wales,Wing,26,35, Cardiff,METRES KICKED,285
1641,Josh Bayliss,Forward,Scotland,Back row,24,2, Bath,METRES KICKED,0
1642,Josh Navidi,Forward,Wales,Back row,31,28, Cardiff,METRES KICKED,0
1643,Josh van der Flier,Forward,Ireland,Back row,28,35,Leinster,METRES KICKED,0
1644,Juan Ignacio Brex,Back,Italy,Centre,29,8, Benetton,METRES KICKED,151
1645,Julien Marchand,Back,France,Hooker,26,16, Toulouse,METRES KICKED,0
1646,Kieran Hardy,Back,Wales,Scrum-half,26,8, Scarlets,METRES KICKED,236
1647,Kieran Treadwell,Forward,Ireland,Lock,26,3,Ulster,METRES KICKED,0
1648,Kyle Sinckler,Forward,England,Prop,28,47,Bristol Bears,METRES KICKED,0
1649,Kyle Steyn,Back,Scotland,Wing,28,3, Glasgow Warriors,METRES KICKED,99
1650,Leon Brown,Forward,Wales,Prop,25,16, Dragons,METRES KICKED,0
1651,Leonardo Marin,Back,Italy,Fly-half,19,0, Benetton,METRES KICKED,208
1652,Lewis Ludlam,Forward,England,Back row,26,10,Northampton Saints,METRES KICKED,0
1653,Liam Williams,Back,Wales,Fullback,30,74, Scarlets,METRES KICKED,412
1654,Louis Rees-Zammit,Back,Wales,Wing,21,12, Gloucester,METRES KICKED,384
1655,Luke Cowan-Dickie,Back,England,Hooker,28,31,Exeter Chiefs,METRES KICKED,35
1656,Mack Hansen,Back,Ireland,Wing,23,0,Connacht,METRES KICKED,271
1657,Magnus Bradbury,Forward,Scotland,Back row,26,14, Edinburgh,METRES KICKED,0
1658,Manuel Zuliani,Forward,Italy,Back row,21,0, Benetton,METRES KICKED,0
1659,Marco Fuser,Forward,Italy,Lock,30,36, Newcastle Falcons,METRES KICKED,0
1660,Marco Zanon,Back,Italy,Centre,24,7, Benetton,METRES KICKED,44
1661,Marcus Smith,Back,England,Fly-half,22,5,Harlequins,METRES KICKED,980
1662,Mark Bennett,Back,Scotland,Centre,29,22, Edinburgh,METRES KICKED,0
1663,Maro Itoje,Forward,England,Lock,27,51,Saracens,METRES KICKED,0
1664,Matt Fagerson,Forward,Scotland,Back row,23,17, Glasgow Warriors,METRES KICKED,0
1665,Matthis Lebel,Back,France,Wing,22,1, Toulouse,METRES KICKED,0
1666,Max Malins,Back,England,Fullback,25,10,Saracens,METRES KICKED,35
1667,Maxime Lucu,Back,France,Scrum-half,29,2, Bordeaux,METRES KICKED,250
1668,Melvyn Jaminet,Back,France,Fullback,22,6, Perpignan,METRES KICKED,1265
1669,Michael Lowry,Back,Ireland,Fullback,23,0,Ulster,METRES KICKED,0
1670,Michele Lamaro,Forward,Italy,Back row,23,10, Benetton,METRES KICKED,71
1671,Mohamed Haouas,Forward,France,Prop,27,13, Montpellier,METRES KICKED,0
1672,Monty Ioane,Back,Italy,Wing,27,9, Benetton,METRES KICKED,81
1673,Nic Dolly,Back,England,Hooker,22,1,Leicester Tigers,METRES KICKED,0
1674,Niccolo Cannone,Forward,Italy,Lock,23,15, Benetton,METRES KICKED,0
1675,Nick Haining,Forward,Scotland,Back row,31,10, Edinburgh,METRES KICKED,0
1676,Nick Isiekwe,Forward,England,Lock,23,3,Saracens,METRES KICKED,0
1677,Nick Tompkins,Back,Wales,Centre,26,16, Saracens,METRES KICKED,147
1678,Oli Kebble,Forward,Scotland,Prop,29,11, Glasgow Warriors,METRES KICKED,0
1679,Ollie Chessum,Forward,England,Lock,21,0,Leicester Tigers,METRES KICKED,0
1680,Owen Watkin,Back,Wales,Centre,25,26, Ospreys,METRES KICKED,37
1681,Paolo Garbisi,Back,Italy,Fly-half,21,13, Montpellier,METRES KICKED,1787
1682,Paul Willemse,Forward,France,Lock,29,19, Montpellier,METRES KICKED,0
1683,Peato Mauvaka,Back,France,Hooker,25,9, Toulouse,METRES KICKED,0
1684,Peter O'Mahony,Forward,Ireland,Back row,32,79,Munster,METRES KICKED,0
1685,Pierre Bruno,Back,Italy,Wing,25,1, Zebre Parma,METRES KICKED,51
1686,Pierre Schoeman,Forward,Scotland,Prop,27,4, Edinburgh,METRES KICKED,0
1687,Pietro Ceccarelli,Forward,Italy,Prop,29,17, Brive,METRES KICKED,0
1688,Rob Herring,Back,Ireland,Hooker,31,23,Ulster,METRES KICKED,0
1689,Robbie Henshaw,Back,Ireland,Centre,28,53,Leinster,METRES KICKED,15
1690,Romain Ntamack,Back,France,Fly-half,22,23, Toulouse,METRES KICKED,1347
1691,Romain Taofifenua,Forward,France,Lock,31,31, Lyon,METRES KICKED,0
1692,Ronan Kelleher,Back,Ireland,Hooker,24,16,Leinster,METRES KICKED,0
1693,Rory Darge,Forward,Scotland,Back row,21,0, Glasgow Warriors,METRES KICKED,0
1694,Rory Sutherland,Forward,Scotland,Prop,29,16, Worcester Warriors,METRES KICKED,0
1695,Ross Moriarty,Forward,Wales,Back row,27,49, Cardiff,METRES KICKED,0
1696,Ryan Baird,Forward,Ireland,Lock,22,6,Leinster,METRES KICKED,0
1697,Ryan Elias,Back,Wales,Hooker,27,23, Scarlets,METRES KICKED,0
1698,Sam Johnson,Back,Scotland,Centre,28,21, Glasgow Warriors,METRES KICKED,0
1699,Sam Simmonds,Forward,England,Back row,27,9,Exeter Chiefs,METRES KICKED,0
1700,Sam Skinner,Forward,Scotland,Lock,27,15, Exeter Chiefs,METRES KICKED,0
1701,Sam Underhill,Forward,England,Back row,25,27,Bath,METRES KICKED,0
1702,Seb Davies,Forward,Wales,Lock,25,13, Cardiff,METRES KICKED,0
1703,Sebastian Negri,Forward,Italy,Back row,27,36, Benetton,METRES KICKED,0
1704,Sione Tuipulotu,Back,Scotland,Centre,24,1, Glasgow Warriors,METRES KICKED,0
1705,Stephen Varney,Back,Italy,Scrum-half,20,9, Gloucester,METRES KICKED,532
1706,Stuart Hogg,Back,Scotland,Fullback,29,88, Exeter Chiefs,METRES KICKED,1619
1707,Stuart McInally,Back,Scotland,Hooker,31,43, Edinburgh,METRES KICKED,0
1708,Tadhg Beirne,Forward,Ireland,Lock,30,25,Munster,METRES KICKED,45
1709,Tadhg Furlong,Forward,Ireland,Prop,29,52,Leinster,METRES KICKED,0
1710,Taine Basham,Forward,Wales,Back row,22,7, Dragons,METRES KICKED,0
1711,Taulupe Faletau,Forward,Wales,Back row,31,86, Bath,METRES KICKED,0
1712,Thibaud Flament,Forward,France,Lock,24,3, Toulouse,METRES KICKED,0
1713,Thomas Ramos,Back,France,Fullback,26,14, Toulouse,METRES KICKED,109
1714,Tiziano Pasquali,Forward,Italy,Prop,27,21, Benetton,METRES KICKED,8
1715,Toa Halafihi,Forward,Italy,Back row,28,0, Benetton,METRES KICKED,0
1716,Tom Curry,Forward,England,Back row,23,36,Sale Sharks,METRES KICKED,0
1717,Tomas Francis,Forward,Wales,Prop,29,60, Ospreys,METRES KICKED,0
1718,Tommaso Menoncello,Back,Italy,Wing,19,0, Benetton /  F.I.R. Academy,METRES KICKED,0
1719,Tomos Williams,Back,Wales,Scrum-half,27,29, Cardiff,METRES KICKED,515
1720,Uilisi Halaholo,Back,Wales,Centre,31,9, Cardiff,METRES KICKED,0
1721,Uini Atonio,Forward,France,Prop,31,39, La Rochelle,METRES KICKED,0
1722,Will Rowlands,Forward,Wales,Lock,30,13, Dragons,METRES KICKED,0
1723,Will Stuart,Forward,England,Prop,25,15,Bath,METRES KICKED,0
1724,WP Nel,Forward,Scotland,Prop,35,43, Edinburgh,METRES KICKED,0
1725,Wyn Jones,Forward,Wales,Prop,29,38, Scarlets,METRES KICKED,0
1726,Yoram Moefana,Back,France,Centre,21,2, Bordeaux,METRES KICKED,6
1727,Zander Fagerson,Forward,Scotland,Prop,26,42, Glasgow Warriors,METRES KICKED,0
1728,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,BALL PLAYED BY HAND,13
1729,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,BALL PLAYED BY HAND,43
1730,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,BALL PLAYED BY HAND,3
1731,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,BALL PLAYED BY HAND,91
1732,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,BALL PLAYED BY HAND,39
1733,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,BALL PLAYED BY HAND,49
1734,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,BALL PLAYED BY HAND,308
1735,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,BALL PLAYED BY HAND,4
1736,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,BALL PLAYED BY HAND,10
1737,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,BALL PLAYED BY HAND,0
1738,Andrew Conway,Back,Ireland,Wing,30,27,Munster,BALL PLAYED BY HAND,21
1739,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,BALL PLAYED BY HAND,18
1740,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,BALL PLAYED BY HAND,7
1741,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,BALL PLAYED BY HAND,44
1742,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,BALL PLAYED BY HAND,35
1743,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,BALL PLAYED BY HAND,264
1744,Ben Carter,Forward,Wales,Lock,21,5, Dragons,BALL PLAYED BY HAND,1
1745,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,BALL PLAYED BY HAND,9
1746,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,BALL PLAYED BY HAND,95
1747,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,BALL PLAYED BY HAND,174
1748,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,BALL PLAYED BY HAND,57
1749,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,BALL PLAYED BY HAND,17
1750,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,BALL PLAYED BY HAND,0
1751,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,BALL PLAYED BY HAND,58
1752,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,BALL PLAYED BY HAND,66
1753,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,BALL PLAYED BY HAND,101
1754,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,BALL PLAYED BY HAND,11
1755,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,BALL PLAYED BY HAND,4
1756,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,BALL PLAYED BY HAND,34
1757,Charlie Ewels,Forward,England,Lock,26,26,Bath,BALL PLAYED BY HAND,20
1758,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,BALL PLAYED BY HAND,5
1759,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,BALL PLAYED BY HAND,44
1760,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,BALL PLAYED BY HAND,8
1761,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,BALL PLAYED BY HAND,71
1762,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,BALL PLAYED BY HAND,30
1763,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,BALL PLAYED BY HAND,31
